,AMZN,NFLX,NVDA,FB,WMT,GOOG,DIS,HD,ROKU,AMD,CRM,TWTR,MCD,GM,MPC,SBUX,BABA,MktVal,PctReturns
2019-01-11,0.208,0.412,-0.14,0.124,-0.38,-0.644,0.28,0.468,0.42,0.56,0.192,0.4,0.512,-0.52,0.34,-0.34,0.204,1.1232941176470588,0.12329411764705878
2019-01-18,0.176,0.364,0.244,0.164,0.48,0.14,0.45,0.456,-0.44,-0.26,0.18,0.46,0.296,0.42,-0.36,-0.34,0.324,1.3052677647058821,0.16199999999999992
2019-01-25,0.588,0.612,-0.172,-0.472,-0.58,0.352,0.56,-0.176,0.34,-0.14,-0.652,0.54,-0.452,0.22,-0.14,0.3,-0.32,1.3365941910588233,0.02400000000000002
2019-02-01,0.2,0.396,0.18,0.056,0.28,0.468,0.64,0.428,-0.58,0.3,0.12,-0.22,0.236,0.62,-0.28,0.0,0.212,1.5768666526985742,0.17976470588235305
2019-02-08,0.268,0.236,-0.492,0.06,-0.7,0.128,0.21,-0.704,-0.44,0.3,0.168,0.34,-0.504,0.28,-0.36,0.28,0.3,1.5184298296868035,-0.0370588235294117
2019-02-15,0.26,0.144,0.448,0.332,0.41,0.364,-0.66,0.392,-0.22,0.27,0.18,0.5,-0.484,0.28,0.5,0.42,-0.636,1.7417283340525098,0.1470588235294117
2019-02-22,-0.508,0.216,0.476,0.412,0.05,-0.496,0.22,-0.412,0.0,0.1,0.332,-0.06,0.168,0.46,-0.32,0.33,-0.384,1.801561825057608,0.0343529411764707
2019-03-01,-0.528,-0.424,-0.272,-0.532,0.29,0.452,0.19,-0.312,0.58,-0.34,-0.224,0.38,-0.344,-0.52,-0.18,-0.54,-0.788,1.4717700368470623,-0.18305882352941183
2019-03-08,-0.728,0.28,-0.868,0.112,0.5,-0.68,0.31,0.544,-0.19,-0.4,-0.536,-0.46,-0.656,0.14,-0.26,-0.42,0.188,1.201310648899402,-0.18376470588235294
2019-03-15,0.02,0.148,0.18,0.216,0.1,0.108,-0.59,-0.632,0.44,-0.56,0.272,-0.5,0.144,-0.68,0.34,-0.42,-0.088,1.0951713198025255,-0.08835294117647063
2019-03-22,0.052,0.308,0.2,0.256,0.16,0.088,0.35,0.168,0.68,0.36,0.288,0.5,0.264,0.12,-0.3,-0.56,-0.288,1.2656315146376715,0.15564705882352947
