,AMZN,NFLX,NVDA,FB,WMT,GOOG,DIS,HD,ROKU,AMD,CRM,TWTR,MCD,GM,MPC,SBUX,BABA,MktVal,PctReturns
2019-03-29,0.076,0.316,-0.256,-0.84,-0.36,-0.672,-0.77,-0.8,0.52,-0.64,0.32,-0.6,0.084,-0.42,-0.46,0.26,0.196,0.9644112141539057,-0.238
2019-04-05,0.12,0.156,0.308,0.104,-0.69,0.104,-0.64,0.064,-0.48,0.18,0.336,0.32,0.164,0.0,-0.4,-0.37,0.316,0.941265345014212,-0.02400000000000002
2019-04-12,0.068,0.688,0.28,0.108,0.08,0.112,0.126,0.068,0.8,0.54,-0.38,0.42,0.088,-0.22,-0.48,0.34,0.252,1.101280453666628,0.17000000000000015
2019-04-18,-0.54,-0.584,-0.584,-0.292,0.05,-0.552,-0.93,0.164,-0.28,0.54,-0.872,-0.18,0.288,-0.2,0.42,0.34,0.164,0.9038273464445173,-0.17929411764705883
2019-04-26,0.096,0.108,0.364,0.076,0.21,-0.756,0.09,0.272,0.52,0.76,0.052,-0.1,0.612,0.58,0.5,0.32,0.028,1.1022440321463374,0.21952941176470597
2019-05-03,-0.652,-0.692,-0.7,0.064,0.37,0.068,0.24,-0.696,-0.1,0.5,0.228,-0.7,0.256,-0.54,-0.36,0.21,-0.756,0.8908725295112162,-0.19176470588235295
2019-05-10,0.324,0.46,-0.404,0.272,0.51,0.328,0.13,0.368,0.41,0.6,-0.5,0.38,0.332,0.36,0.44,0.21,0.088,1.116630109342647,0.25341176470588267
2019-05-17,0.1,0.192,-0.48,0.184,-0.39,0.108,0.11,0.624,-0.66,0.34,0.184,0.34,0.256,-0.52,-0.28,-0.72,-0.82,1.0225704436615486,-0.08423529411764719
2019-05-24,0.08,0.16,-0.076,0.216,0.21,-0.052,0.21,0.152,-0.29,-0.22,0.16,0.28,0.192,-0.52,-0.56,0.13,0.152,1.0360443130368537,0.013176470588235345
2019-05-31,0.408,-0.456,-0.37,0.38,-0.68,-0.528,-0.65,-0.7,-0.62,-0.52,-0.596,0.24,0.068,-0.42,0.35,-0.65,0.192,0.7586282122754562,-0.2677647058823529
2019-06-07,0.084,-0.764,0.148,-0.268,-0.23,0.292,0.07,0.0,0.32,-0.48,-0.84,-0.5,0.024,0.28,0.44,-0.06,0.004,0.6925829326185341,-0.08705882352941174
2019-06-14,0.088,-0.48,0.112,-0.728,0.07,-0.64,0.036,0.136,0.54,0.3,-0.468,-0.06,0.128,-0.48,-0.36,0.25,-0.544,0.6070285703538917,-0.12352941176470589
2019-06-21,0.088,0.1,-0.808,0.096,0.25,-0.696,0.012,0.216,-0.56,-0.2,-0.352,0.48,0.26,-0.56,-0.6,0.28,0.38,0.549396563733234,-0.0949411764705882
2019-06-28,0.176,0.104,0.308,0.212,0.25,-0.572,0.23,0.308,-0.5,0.48,0.112,-0.16,0.112,0.5,0.38,-0.6,0.384,0.6051118387847689,0.10141176470588231
2019-07-05,0.068,0.088,0.024,0.024,-0.55,0.216,0.024,-0.748,-0.52,-0.48,-0.044,-0.44,0.06,-0.24,0.32,-0.21,0.168,0.5253794553213641,-0.1317647058823529
2019-07-12,0.014,-0.332,0.134,0.024,0.11,0.062,0.024,0.084,0.14,0.34,0.164,0.18,0.072,0.48,0.5,0.12,-0.004,0.590650126476583,0.124235294117647
2019-07-19,0.298,-0.394,0.26,0.656,0.13,-0.216,-0.65,0.104,0.26,0.2,0.276,-0.28,0.38,-0.54,0.18,-0.01,0.2,0.6203216093007595,0.050235294117646934
2019-07-26,-0.864,0.072,-0.868,-0.204,-0.59,-0.528,0.19,0.064,-0.49,-0.22,-0.588,0.34,0.128,0.34,-0.46,-0.15,-0.768,0.45261583775097763,-0.2703529411764707
2019-08-02,0.16,0.188,0.352,0.308,-0.09,0.26,0.33,0.412,-0.37,-0.36,0.44,0.42,-0.44,0.58,-0.34,0.44,0.48,0.5263655948433428,0.16294117647058814
2019-08-09,0.1,0.128,0.468,0.236,-0.45,0.096,0.05,-0.28,0.33,-0.62,0.4,0.34,0.116,-0.54,-0.22,0.22,-0.412,0.5251890129254576,-0.002235294117647113
2019-08-16,0.06,0.144,0.264,0.12,0.18,0.092,0.22,-0.556,0.29,0.3,-0.34,0.46,0.108,0.2,0.38,0.08,-0.664,0.5665244775898259,0.07870588235294118
2019-08-23,0.52,0.496,0.26,0.276,-0.1,-0.428,-0.38,0.056,-0.4,-0.4,0.224,0.38,0.276,0.28,-0.36,-0.38,-0.484,0.5610591826295476,-0.009647058823529453
2019-08-30,-0.684,0.316,-0.58,0.276,0.4,-0.116,0.25,0.116,-0.668,0.48,0.076,-0.7,0.028,-0.5,-0.5,0.38,0.316,0.5244253183519713,-0.06529411764705872
2019-09-06,0.028,0.272,0.224,0.076,-0.27,0.06,0.08,0.0,-0.684,0.48,0.12,0.08,-0.004,0.24,0.34,-0.7,0.172,0.5402814720950838,0.030235294117647138
2019-09-13,0.04,-0.644,0.148,0.128,0.39,0.244,-0.82,-0.404,-0.104,0.34,0.192,0.22,0.196,-0.52,0.28,0.32,0.172,0.5459385369205499,0.01047058823529401
2019-09-20,0.068,0.356,0.42,-0.716,0.2,0.448,0.16,0.32,-0.26,-0.38,-0.544,-0.46,0.14,0.3,-0.52,-0.56,-0.66,0.49173005160749766,-0.09929411764705887
2019-09-27,0.092,0.172,-0.44,0.244,0.62,0.176,0.26,0.536,-0.29,0.64,0.26,0.46,0.4,-0.44,0.18,-0.54,0.272,0.5669936748005981,0.1530588235294117
2019-10-04,0.188,-0.58,0.18,0.208,-0.14,0.172,0.34,-0.7,-0.39,-0.2,0.204,0.54,0.264,-0.18,-0.64,0.19,0.324,0.5596561095972963,-0.012941176470588234
2019-10-11,0.2,0.74,0.228,0.164,0.24,-0.016,0.34,0.288,0.16,-0.32,-0.22,-0.42,0.42,0.36,0.3,0.58,0.352,0.671455647726262,0.19976470588235284
2019-10-18,0.308,0.252,-0.776,0.26,0.37,0.304,0.24,0.176,0.4,-0.52,-0.59,-0.22,-0.272,0.3,0.12,-0.44,0.332,0.681093011140686,0.01435294117647068
2019-10-25,0.12,0.184,0.444,0.452,0.23,0.708,0.1,0.44,-0.48,-0.24,-0.768,0.36,0.028,-0.4,0.54,0.72,0.548,0.8007249953328089,0.1756470588235295
2019-11-01,0.044,0.248,0.268,0.22,0.06,-0.776,-0.33,0.24,0.108,-0.06,0.1,0.36,0.072,0.3,0.26,0.2,-0.648,0.8320945745617296,0.03917647058823537
2019-11-08,-0.3,0.368,0.56,0.156,0.65,0.276,-0.69,-0.332,-0.49,-0.6,0.292,0.36,0.216,-0.52,0.18,-0.64,0.12,0.8128095591277696,-0.023176470588235132
2019-11-15,0.184,-0.74,0.056,0.136,0.19,-0.768,0.012,-0.516,0.18,0.44,0.528,0.16,0.176,-0.5,0.1,0.04,0.248,0.8092714469292135,-0.0043529411764705594
2019-11-22,-0.816,0.096,0.108,0.088,0.05,0.256,0.036,0.044,0.196,0.2,0.332,0.24,0.18,0.28,0.22,-0.66,-0.644,0.8190779126978852,0.012117647058823566
2019-11-29,0.036,0.096,0.12,0.116,0.19,-0.708,0.04,0.064,-0.628,0.4,-0.076,0.18,0.04,0.44,0.58,0.22,0.12,0.8783406087342616,0.07235294117647051
2019-12-06,0.008,0.244,-0.732,0.092,0.18,0.084,0.084,0.028,-0.164,-0.44,0.088,0.52,0.092,0.24,-0.36,0.16,0.108,0.8903273746887526,0.013647058823529346
2019-12-13,0.036,-0.652,-0.788,-0.604,0.17,0.308,0.064,-0.352,0.03,-0.68,0.212,-0.66,0.244,-0.4,-0.58,0.13,0.104,0.7113192001778023,-0.20105882352941173
2019-12-20,0.004,0.048,0.016,0.004,0.07,0.072,0.008,0.02,0.4,0.08,0.148,0.02,0.004,0.22,0.3,0.05,0.22,0.7817816433012975,0.09905882352941187
