,KO,COST,MNST,PM,ORCL,WMT,STX,PYPL,SWKS,TXN,QCOM,V,WDC,FFIV,GLW,HPE,HPQ,IBM,JNPR,INTC,MA,MSFT,MU,NTAP,NVDA,AMAT,AKAM,ACN,AMD,CTSH,CSCO,CRM,NKE,MCD,HD,SBUX,TGT,GM,AMZN,DG,LVS,F,EBAY,DHI,YUM,BBY,CZR,EXPE,CMG,MGM,PHM,WYNN,AAL,AXP,MMM,AMGN,BA,CAT,DAL,CVX,JNJ,GS,FDX,JPM,KSU,MRK,NSC,PG,LUV,UNP,UAL,UPS,UNH,VZ,WBA,DIS,MktVal,PctReturns
2016-03-24,0.0,-0.68,0.0,0.0,0.0,-0.02,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.38,-0.34,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.36,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,-0.54,0.4,0.0,0.38,0.38,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.3,0.0,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.62,0.0,1.0371642952010036,-0.03034883720930248
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.32,0.0,0.0,0.0,-0.71,0.0,0.0,0.32,0.0,0.2,-0.5,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.66,0.38,0.0,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.38,-0.14,0.28,0.0,0.0,0.0,0.36,0.3,0.0,0.36,0.0,0.0,-0.61,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.15,1.0271544537473196,-0.009651162790697554
2016-04-08,0.0,0.08,0.0,0.0,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,-0.02,0.4,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.38,0.03,0.3,0.0,0.0,0.4,-0.5,-0.64,0.0,0.0,0.34,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.62,0.0,0.24,-0.54,0.0,0.0,0.33,0.35,-0.66,0.08,0.0,0.0,0.3,0.0,-0.1,0.0,0.0,0.0,0.0,0.34,0.0,0.26,0.0,1.0418451511671942,0.014302325581395436
2016-04-15,-0.42,0.0,0.0,-0.12,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,-0.65,0.0,0.36,0.32,0.0,0.0,0.34,0.14,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.32,0.0,1.0762502701127157,0.0330232558139536
2016-04-22,0.0,0.0,0.0,0.32,0.0,-0.72,0.0,0.0,0.0,0.0,-0.62,0.08,0.0,0.26,0.0,0.0,-0.16,0.0,0.0,0.0,0.36,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.25,0.0,-0.7,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.26,0.0,0.37,0.0,0.0,0.0,0.0,-0.19,-0.6,0.0,0.0,0.0,0.0,-0.6,0.0,-0.08,0.0,0.0,0.0,1.071619891043626,-0.0043023255813953165
2016-04-29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,-0.44,0.0,-0.3,0.0,0.34,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.37,0.0,0.0,0.0,0.37,-0.12,-0.28,0.0,0.38,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,-0.13,1.0814638412055386,0.009186046511628021
2016-05-06,0.0,0.29,0.38,0.0,0.28,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,-0.37,0.3,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.31,-0.62,0.0,0.0,0.32,0.34,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.1223331142743527,0.03779069767441867
2016-05-13,-0.62,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.35,0.0,-0.62,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985814134838954,-0.02116279069767446
2016-05-20,-0.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.64,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.12,0.0,0.3,1.0957710889377739,-0.0025581395348835967
2016-05-27,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.36,0.0,0.0,0.0,0.38,0.32,0.0,0.38,0.0,0.28,0.12,0.29,0.0,-0.62,0.4,0.0,0.0,0.28,0.0,0.0,0.31,-0.66,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,0.32,-0.74,0.0,0.28,0.0,0.0,0.0,0.0,1.1077481217703495,0.010930232558139519
2016-06-03,-0.58,0.0,0.31,0.27,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.32,0.0,-0.72,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.38,-0.46,0.26,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.36,0.0,0.0,0.0,0.0,-0.72,0.0,-0.08,0.0,0.0,0.0,0.0,-0.71,-0.67,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.36,0.0,0.0,0.0,-0.56,0.0,0.0,0.0,-0.72,0.0,0.16,1.0885557415210727,-0.017325581395348677
2016-06-10,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.08,0.0,0.0,0.26,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.28,0.0,0.0,-0.7,0.36,0.0,0.0,0.0,-0.22,0.0,0.0,1.1041246201498045,0.014302325581395436
2016-06-17,0.32,0.0,0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.36,0.0,-0.52,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,1.1119562017578437,0.007093023255813957
2016-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1207484135856962,0.007906976744185945
2016-07-01,0.32,-0.62,0.0,0.0,0.0,0.0,0.32,0.3,0.34,0.0,0.0,0.0,-0.62,0.0,-0.4,0.0,0.1,0.0,0.38,0.0,0.3,0.0,0.0,0.0,-0.74,-0.6,0.36,0.26,0.0,0.0,0.0,0.0,-0.18,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.72,-0.38,0.3,0.0,0.0,0.0,0.28,0.0,0.0,0.28,0.36,0.0,0.0,0.0,0.26,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.72,0.34,0.0,0.0,0.0,0.0,0.0,1.0980728061480323,-0.02023255813953473
2016-07-08,0.3,0.0,0.33,0.0,-0.18,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.46,0.0,0.22,0.0,-0.46,-0.6,0.04,0.0,0.0,-0.68,0.0,0.0,0.0,0.38,-0.3,0.0,0.22,0.0,0.36,0.32,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.38,0.26,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.29,0.0,0.0,0.0,-0.08,0.0,0.26,-0.64,0.26,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,1.0971790259569816,-0.0008139534883720989
2016-07-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,0.0,-0.72,0.3,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,-0.08,0.26,0.0,0.0,0.0,0.29,0.26,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0883760779580245,-0.008023255813953356
2016-07-22,0.0,0.0,0.0,0.0,0.34,0.28,0.4,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.4,-0.68,0.0,0.26,0.4,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.26,0.4,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,-0.54,1.1241912442443176,0.03290697674418608
2016-07-29,0.0,0.27,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.72,0.0,0.0,0.0,0.0,0.0,-0.32,0.26,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,-0.72,0.28,0.0,1.1248448438049248,0.0005813953488371659
2016-08-05,0.0,0.31,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.26,0.28,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.29,0.34,0.0,0.33,0.0,0.3,0.0,0.0,0.0,0.4,0.08,0.0,0.25,0.26,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.0,0.0,0.0,0.4,0.0,0.0,1.1795175350503269,0.04860465116279067
2016-08-12,0.0,0.32,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.36,0.0,0.27,0.36,0.0,0.0,0.0,0.0,-0.18,0.18,0.34,-0.68,0.0,0.38,0.0,0.0,0.0,-0.72,0.38,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.38,0.4,0.0,-0.62,0.0,0.0,0.0,0.0,0.32,0.0,0.31,-0.68,-0.15,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2114742310580857,0.027093023255813975
2016-08-19,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.3,0.36,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.36,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.22,0.26,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.34,0.0,0.26,0.0,0.0,0.0,0.34,0.0,0.0,1.2681036079052195,0.04674418604651165
2016-08-26,0.0,-0.62,0.0,-0.64,0.0,0.22,0.0,0.0,0.28,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.26,0.38,0.0,0.0,0.0,0.34,-0.08,-0.6,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.01,0.14,0.0,0.38,0.0,0.25,0.0,0.0,0.28,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.38,0.0,0.0,0.0,0.0,1.3273800788793937,0.04674418604651165
