,NFLX,NVDA,FB,WMT,AMZN,GOOG,DIS,HD,AMD,CRM,TWTR,MCD,MktVal,PctReturns
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,-0.64,0.0,0.9266666666666666,-0.07333333333333336
2018-01-19,0.0,-0.664,-0.656,0.0,0.0,0.0,0.27,0.0,0.32,0.0,0.0,-0.056,0.86597,-0.0655
2018-01-26,0.0,0.324,0.312,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.9358249133333334,0.08066666666666666
2018-02-02,0.0,0.0,0.0,0.0,0.0,-0.652,0.0,-0.632,-0.64,-0.59,0.0,0.0,0.7397695939900001,-0.2094999999999999
2018-02-09,-0.656,0.0,0.0,-0.64,-0.656,-0.668,-0.63,0.0,0.0,-0.61,0.4,0.384,0.5501419880638967,-0.2563333333333334
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.26,0.0,0.5785659907805314,0.05166666666666675
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.692,0.5452020186455208,-0.057666666666666644
2018-03-02,0.0,0.0,0.0,0.0,-0.692,0.0,0.38,0.356,0.0,-0.74,0.0,0.0,0.5135803015640805,-0.05800000000000005
2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.28,-0.7,0.5110124000562601,-0.0050000000000000044
2018-03-16,0.0,-0.688,0.0,0.0,0.0,0.0,0.0,-0.644,-0.4,0.0,0.0,-0.74,0.4057438456446706,-0.20599999999999996
2018-03-23,0.0,0.0,0.0,-0.18,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.3986433283458889,-0.01749999999999985
2018-03-29,0.284,0.0,0.0,0.0,0.268,0.0,0.27,0.052,0.0,0.0,0.0,0.0,0.4276778507604145,0.0728333333333333
2018-04-06,0.0,0.0,0.0,0.0,0.304,0.0,0.4,0.392,0.0,0.0,0.0,0.0,0.466739094463199,0.09133333333333327
2018-04-13,0.0,0.3,0.0,0.0,-0.736,-0.608,0.36,0.0,0.0,0.0,0.0,0.0,0.4401349660787967,-0.05699999999999994
2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.45407257333795864,0.03166666666666673
2018-04-27,0.332,-0.652,0.0,0.0,0.0,0.0,0.16,0.0,0.26,-0.64,0.0,0.0,0.4336393075377505,-0.04500000000000004
2018-05-04,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,-0.46,-0.68,0.0,0.0,0.37003887576554706,-0.14666666666666672
2018-05-11,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.36300813712600166,-0.019000000000000017
2018-05-18,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.04,0.3778914707481677,0.040999999999999925
2018-05-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.34,0.0,0.0,-0.72,-0.072,0.34287352779217084,-0.09266666666666667
2018-06-01,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.3451593513107853,0.006666666666666599
2018-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,-0.68,0.0,0.3146702752783326,-0.08833333333333337
2018-06-15,0.0,0.0,0.0,-0.06,0.0,0.0,0.24,0.0,0.38,0.0,0.28,0.0,0.3366971945478159,0.07000000000000006
2018-06-22,0.0,0.0,0.0,0.36,0.0,0.0,0.26,0.248,0.28,0.3,0.34,-0.696,0.3673366392516671,0.09099999999999997
2018-06-29,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.348,-0.64,0.0,-0.66,0.0,0.3411332923183815,-0.07133333333333336
2018-07-06,0.0,0.284,0.0,0.0,0.0,0.0,-0.62,-0.152,0.0,0.0,0.3,0.296,0.34420349194924693,0.008999999999999897
2018-07-13,0.0,0.0,0.0,0.26,0.0,0.0,0.34,0.0,0.0,0.0,0.36,0.332,0.38126273458244914,0.10766666666666658
2018-07-20,0.0,0.288,0.0,0.36,0.0,0.272,0.33,0.0,0.0,0.0,0.0,0.0,0.42097760276812096,0.10416666666666674
2018-07-27,-0.456,0.344,0.0,0.0,0.0,0.0,0.28,0.0,0.36,0.37,-0.64,0.0,0.4300286212276356,0.021500000000000075
2018-08-03,0.26,0.0,0.0,0.4,0.0,0.268,0.0,0.28,0.0,-0.37,0.0,0.0,0.4600589532766988,0.06983333333333341
2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,-0.152,0.46649977862257264,0.014000000000000012
2018-08-17,-0.704,-0.672,0.308,0.0,0.0,0.0,0.0,0.0,-0.66,-0.6,-0.14,0.0,0.3705563241525302,-0.20566666666666666
