Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
DOC,1,0,0,1
DOX,1,0,0,1
DRH,0,0,0,1
DRQ,0,1,0,0
DSL,1,0,0,0
DVAX,0,1,0,0
DVY,1,0,0,1
EA,0,0,0,1
ECOL,0,1,0,0
ECPG,0,1,0,0
EDIT,0,0,1,1
EFSC,0,1,0,1
EIG,1,1,0,0
ELY,0,0,0,1
EMN,0,0,0,1
EMR,0,0,0,1
ENB,1,0,0,1
ENDP,0,0,0,1
ENLC,0,0,1,0
ENS,0,0,0,1
ENV,0,0,0,1
ENVA,0,1,0,0
EPAC,0,1,0,1
EPAY,0,0,0,1
EQIX,1,0,0,0
EQR,1,0,0,1
ERF,0,1,0,0
ERIC,1,0,0,0
ERII,0,1,0,0
ESLT,1,0,0,1
ESNT,0,0,0,1
ESS,1,0,0,1
ETN,1,0,0,0
ETR,1,0,0,0
EUFN,0,1,0,0
EURN,0,0,0,1
EVH,0,0,0,1
EVRG,1,0,0,0
EVRI,0,1,0,0
EWBC,0,0,0,1
EXC,0,0,0,1
EXP,0,0,0,1
EXPD,1,0,0,0
EXPI,0,0,1,0
EXPO,1,0,0,0
EXR,1,0,0,0
EXTR,0,1,0,0
F,0,0,0,1
FBC,0,0,0,1
FBNC,0,1,0,1
FCEL,0,0,1,0
FCF,0,1,0,1
FCPT,0,0,0,1
FDP,0,1,0,0
FDS,1,0,0,0
FDX,0,0,0,1
FE,1,0,0,1
FELE,1,0,0,0
FEX,1,1,0,0
FEYE,0,0,0,1
FFG,0,1,0,0
FIBK,0,0,0,1
FIS,1,0,0,0
FISV,1,0,0,0
FITB,0,0,0,1
FIZZ,0,0,0,1
FL,0,0,0,1
FLEX,0,0,0,1
FLIR,0,0,0,1
FLOW,0,0,0,1
FLT,0,0,0,1
FLWS,0,1,0,0
FMC,1,0,0,0
FOE,0,1,0,0
FOR,0,1,0,1
FPRX,0,0,1,1
FR,1,0,0,0
FRG,0,1,0,0
FRME,0,0,0,1
FRO,0,1,0,0
FSLR,0,0,0,1
FSM,0,1,0,1
FTC,1,1,0,0
FUBO,0,0,1,0
FUL,0,0,0,1
FV,1,0,0,0
G,0,0,0,1
GABC,1,1,0,0
